event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,99,6.666666666666667,3.0,7.0,86.2038576498559,97.51111111111112,babble,syllable,p307,mgb_normalisation,86.2038576498559,90.34149293193902
1,99,-3.0,2.0,7.0,84.40078082039426,87.84444444444446,babble,syllable,p307,mgb_normalisation,84.40078082039426,90.34149293193902
2,99,-0.3333333333333333,5.0,7.0,89.14911522239515,90.51111111111112,babble,syllable,p307,mgb_normalisation,89.14911522239515,90.34149293193902
3,99,-3.6666666666666665,12.0,7.0,93.00003341222718,87.17777777777779,babble,syllable,p307,mgb_normalisation,93.00003341222715,90.34149293193902
4,99,1.6666666666666667,11.0,7.0,92.00610777531934,92.51111111111112,babble,syllable,p307,mgb_normalisation,92.00610777531934,90.34149293193902
5,99,-8.333333333333334,4.0,7.0,87.57049330475357,82.51111111111113,babble,syllable,p307,mgb_normalisation,87.57049330475357,90.34149293193902
6,99,5.666666666666667,7.0,7.0,90.34149293193902,96.51111111111112,babble,syllable,p307,mgb_normalisation,90.34149293193902,90.34149293193902
7,99,6.333333333333333,9.0,7.0,91.73820004985969,97.1777777777778,babble,syllable,p307,mgb_normalisation,91.73820004985969,90.34149293193902
8,99,4.0,6.0,7.0,89.31368318402099,94.84444444444446,babble,syllable,p307,mgb_normalisation,89.31368318402099,90.34149293193902
9,99,-2.6666666666666665,8.0,7.0,91.58892582949886,88.17777777777779,babble,syllable,p307,mgb_normalisation,91.58892582949886,90.34149293193902
10,99,-5.333333333333333,10.0,7.0,92.0152836843556,85.51111111111113,babble,syllable,p307,mgb_normalisation,92.0152836843556,90.34149293193902
0,99,2.0,5.0,7.0,89.14911522239515,92.84444444444446,babble,syllable,p307,mgb_normalisation,89.14911522239515,90.34149293193902
