event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target,abs_spatial_separation,relative_threshold,mgb_level_target,mgb_level_masker,tmr,relative_tmr
0,sub_109,-10.25,10.0,7.0,92.0152836843556,80.09149293193902,babble,syllable,p268,mgb_normalisation,92.0152836843556,90.34149293193902,3.0,-2.75,17.9537860543048,30.271996754071978,0.5930823196157281,-0.08930636924271562
0,sub_109,-9.25,6.0,7.0,89.31368318402099,81.09149293193902,babble,syllable,p268,mgb_normalisation,89.31368318402099,90.34149293193902,1.0,-1.75,18.88641084727584,29.94656420537578,0.6306703739952076,-0.05171831486323608
0,sub_109,-7.5,7.0,7.0,90.34149293193904,82.84149293193902,babble,syllable,p268,mgb_normalisation,90.34149293193902,90.34149293193902,0.0,0.0,20.65863782491499,30.274003895748137,0.6823886888584437,0.0
0,sub_109,-11.625,2.0,7.0,84.40078082039427,78.71649293193902,babble,syllable,p268,mgb_normalisation,84.40078082039426,90.34149293193902,5.0,-4.125,16.766517614285988,29.645072252093144,0.5655751981883653,-0.1168134906700784
0,sub_109,-10.0,4.0,7.0,87.57049330475357,80.34149293193902,babble,syllable,p268,mgb_normalisation,87.57049330475357,90.34149293193902,3.0,-2.5,18.18148250229015,30.035097752810543,0.6053412128678294,-0.07704747599061434
0,sub_109,-11.25,8.0,7.0,91.58892582949888,79.09149293193902,babble,syllable,p268,mgb_normalisation,91.58892582949886,90.34149293193902,1.0,-3.75,17.079398597412705,30.254889529861288,0.5645169710686103,-0.11787171778983341
0,sub_109,-11.125,12.0,7.0,93.00003341222715,79.21649293193902,babble,syllable,p268,mgb_normalisation,93.00003341222715,90.34149293193902,5.0,-3.625,17.185512175207407,30.341346159944948,0.5664057251980078,-0.11598296366043592
0,sub_121,-4.5,7.0,7.0,90.34149293193904,85.84149293193902,babble,syllable,p248,mgb_normalisation,90.34149293193902,90.34149293193902,0.0,0.0,24.11168223471563,30.274003895748137,0.7964484089302115,0.0
0,sub_121,-8.125,2.0,7.0,84.40078082039426,82.21649293193902,babble,syllable,p248,mgb_normalisation,84.40078082039426,90.34149293193902,5.0,-3.625,20.005225555150048,29.645072252093144,0.6748246516328711,-0.12162375729734043
0,sub_121,-9.5,12.0,7.0,93.00003341222718,80.84149293193902,babble,syllable,p248,mgb_normalisation,93.00003341222715,90.34149293193902,5.0,-5.0,18.647794898775686,30.341346159944976,0.6146001169649324,-0.18184829196527907
0,sub_121,-8.875,4.0,7.0,87.57049330475355,81.46649293193902,babble,syllable,p248,mgb_normalisation,87.57049330475357,90.34149293193902,3.0,-4.375,19.25115945784779,30.035097752810543,0.6409554454020833,-0.15549296352812825
0,sub_121,-11.0,6.0,7.0,89.31368318402099,79.34149293193902,babble,syllable,p248,mgb_normalisation,89.31368318402099,90.34149293193902,1.0,-6.5,17.29253571137832,29.94656420537578,0.5774464006216145,-0.21900200830859706
0,sub_121,-4.375,8.0,7.0,91.58892582949886,85.96649293193902,babble,syllable,p248,mgb_normalisation,91.58892582949886,90.34149293193902,1.0,0.125,24.266933564826928,30.254889529861288,0.8020830332523837,0.00563462432217221
0,sub_121,-9.125,10.0,7.0,92.0152836843556,81.21649293193902,babble,syllable,p248,mgb_normalisation,92.0152836843556,90.34149293193902,3.0,-4.625,19.00708375909028,30.271996754071978,0.6278767771251685,-0.16857163180504298
0,sub_120,-9.0,2.0,7.0,84.40078082039427,81.34149293193902,babble,syllable,p248,mgb_normalisation,84.40078082039426,90.34149293193902,5.0,-0.75,19.128666629280957,29.645072252093144,0.6452561986227018,-0.011322727797977605
0,sub_120,-9.5,6.0,7.0,89.31368318402099,80.84149293193902,babble,syllable,p248,mgb_normalisation,89.31368318402099,90.34149293193902,1.0,-1.25,18.647794898775686,29.94656420537578,0.6227023163955542,-0.03387661002512521
0,sub_120,-7.875,10.0,7.0,92.0152836843556,82.46649293193902,babble,syllable,p248,mgb_normalisation,92.0152836843556,90.34149293193902,3.0,0.375,20.263860587927297,30.271996754071978,0.6693929294638136,0.012814003043134181
0,sub_120,-10.625,12.0,7.0,93.00003341222715,79.71649293193902,babble,syllable,p248,mgb_normalisation,93.00003341222715,90.34149293193902,5.0,-2.375,17.619066070148506,30.341346159944948,0.5806949361201472,-0.07588399030053217
0,sub_120,-8.875,8.0,7.0,91.58892582949888,81.46649293193902,babble,syllable,p248,mgb_normalisation,91.58892582949886,90.34149293193902,1.0,-0.625,19.25115945784779,30.254889529861288,0.6362991158452944,-0.02027981057538497
0,sub_120,-8.375,4.0,7.0,87.57049330475357,81.96649293193902,babble,syllable,p248,mgb_normalisation,87.57049330475357,90.34149293193902,3.0,-0.125,19.750230355877733,30.035097752810543,0.6575717022272584,0.0009927758065789716
0,sub_120,-8.25,7.0,7.0,90.341492931939,82.09149293193902,babble,syllable,p248,mgb_normalisation,90.34149293193902,90.34149293193902,0.0,0.0,19.87727297632574,30.27400389574808,0.6565789264206794,0.0
0,sub_108,-10.5,7.0,7.0,90.34149293193904,79.84149293193902,babble,syllable,p284,mgb_normalisation,90.34149293193902,90.34149293193902,0.0,0.0,17.72972943982441,30.274003895748137,0.5856420412998123,0.0
0,sub_108,-10.625,10.0,7.0,92.0152836843556,79.71649293193902,babble,syllable,p284,mgb_normalisation,92.0152836843556,90.34149293193902,3.0,-0.125,17.619066070148506,30.271996754071978,0.5820252365010746,-0.003616804798737716
