event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,4,-1.5,3.0,7.0,88.06666666666666,87.84444444444446,babble,syllable,p318,syllable_rms,88.06666666666666,90.84444444444446
1,4,-3.5,4.0,7.0,88.4,84.84444444444446,babble,syllable,p318,syllable_rms,88.4,90.84444444444446
2,4,-6.0,2.0,7.0,86.2,86.84444444444446,babble,syllable,p318,syllable_rms,86.2,90.84444444444446
3,4,-8.5,5.0,7.0,89.82222222222222,81.84444444444446,babble,syllable,p318,syllable_rms,89.82222222222222,90.84444444444446
4,4,-4.5,6.0,7.0,90.06666666666666,83.84444444444446,babble,syllable,p318,syllable_rms,90.06666666666666,90.84444444444446
5,4,-4.75,11.0,7.0,91.66666666666669,85.84444444444445,babble,syllable,p318,syllable_rms,91.66666666666669,90.84444444444446
6,4,-11.25,12.0,7.0,91.4888888888889,77.84444444444448,babble,syllable,p318,syllable_rms,91.4888888888889,90.84444444444446
7,4,-3.75,9.0,7.0,91.64444444444445,85.84444444444445,babble,syllable,p318,syllable_rms,91.64444444444445,90.84444444444446
8,4,-9.75,10.0,7.0,91.53333333333336,80.84444444444445,babble,syllable,p318,syllable_rms,91.53333333333332,90.84444444444446
9,4,-8.0,8.0,7.0,91.28888888888888,82.84444444444446,babble,syllable,p318,syllable_rms,91.28888888888888,90.84444444444446
10,4,-13.0,4.0,7.0,88.40000000000002,73.84444444444446,pinknoise,syllable,p248,syllable_rms,88.4,90.84444444444446
11,4,-5.25,6.0,7.0,90.06666666666666,80.84444444444446,pinknoise,syllable,p248,syllable_rms,90.06666666666666,90.84444444444446
12,4,-12.25,5.0,7.0,89.82222222222222,77.84444444444446,pinknoise,syllable,p248,syllable_rms,89.82222222222222,90.84444444444446
13,4,-9.0,3.0,7.0,88.06666666666665,80.84444444444446,pinknoise,syllable,p248,syllable_rms,88.06666666666666,90.84444444444446
14,4,-2.5,2.0,7.0,86.19999999999999,85.84444444444446,pinknoise,syllable,p248,syllable_rms,86.2,90.84444444444446
15,4,-15.25,12.0,7.0,91.4888888888889,76.84444444444445,pinknoise,syllable,p248,syllable_rms,91.4888888888889,90.84444444444446
16,4,-12.0,8.0,7.0,91.28888888888888,73.84444444444446,pinknoise,syllable,p248,syllable_rms,91.28888888888888,90.84444444444446
17,4,-10.25,10.0,7.0,91.53333333333332,77.84444444444446,pinknoise,syllable,p248,syllable_rms,91.53333333333332,90.84444444444446
18,4,-2.75,9.0,7.0,91.64444444444445,84.84444444444448,pinknoise,syllable,p248,syllable_rms,91.64444444444445,90.84444444444446
19,4,-15.5,11.0,7.0,91.66666666666669,75.84444444444446,pinknoise,syllable,p248,syllable_rms,91.66666666666667,90.84444444444446
