event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,0,-15.88888888888889,5.0,7.0,89.82222222222222,74.95555555555558,pinknoise,syllable,p245,syllable_rms,89.82222222222222,90.84444444444446
1,0,-18.11111111111111,12.0,7.0,91.4888888888889,72.73333333333335,pinknoise,syllable,p245,syllable_rms,91.4888888888889,90.84444444444446
2,0,-15.555555555555555,4.0,7.0,88.4,75.2888888888889,pinknoise,syllable,p245,syllable_rms,88.4,90.84444444444446
3,0,-16.666666666666668,9.0,7.0,91.64444444444445,74.17777777777779,pinknoise,syllable,p245,syllable_rms,91.64444444444445,90.84444444444446
4,0,-16.444444444444443,11.0,7.0,91.66666666666669,74.40000000000002,pinknoise,syllable,p245,syllable_rms,91.66666666666669,90.84444444444446
5,0,-18.666666666666668,2.0,7.0,86.19999999999999,72.17777777777779,pinknoise,syllable,p245,syllable_rms,86.2,90.84444444444446
6,0,-18.22222222222222,6.0,7.0,90.06666666666668,72.62222222222223,pinknoise,syllable,p245,syllable_rms,90.06666666666666,90.84444444444446
7,0,-13.77777777777778,7.0,7.0,90.84444444444446,77.06666666666669,pinknoise,syllable,p245,syllable_rms,90.84444444444446,90.84444444444446
8,0,-18.666666666666668,8.0,7.0,91.28888888888888,72.17777777777779,pinknoise,syllable,p245,syllable_rms,91.28888888888888,90.84444444444446
9,0,-19.666666666666668,10.0,7.0,91.53333333333336,71.17777777777779,pinknoise,syllable,p245,syllable_rms,91.53333333333332,90.84444444444446
10,0,-15.0,3.0,7.0,88.06666666666666,75.84444444444446,pinknoise,syllable,p245,syllable_rms,88.06666666666666,90.84444444444446
