,event_id,sub_id,stim_type,response,speaker_distance,sound_filename
0,0,0,pinknoise,9.629032258064516,6.0,data\stim_files\pinknoise\pinknoise_6.wav
0,1,0,pinknoise,10.890029325513197,10.0,data\stim_files\pinknoise\pinknoise_7.wav
0,2,0,pinknoise,7.53225806451613,7.0,data\stim_files\pinknoise\pinknoise_8.wav
0,3,0,pinknoise,9.7316715542522,9.0,data\stim_files\pinknoise\pinknoise_7.wav
0,4,0,pinknoise,4.541055718475073,2.0,data\stim_files\pinknoise\pinknoise_7.wav
0,5,0,pinknoise,6.31524926686217,3.0,data\stim_files\pinknoise\pinknoise_2.wav
0,6,0,pinknoise,9.878299120234605,11.0,data\stim_files\pinknoise\pinknoise_8.wav
0,7,0,pinknoise,11.62316715542522,12.0,data\stim_files\pinknoise\pinknoise_4.wav
0,8,0,pinknoise,6.843108504398828,4.0,data\stim_files\pinknoise\pinknoise_5.wav
0,9,0,pinknoise,8.983870967741936,8.0,data\stim_files\pinknoise\pinknoise_1.wav
0,10,0,pinknoise,6.139296187683285,5.0,data\stim_files\pinknoise\pinknoise_4.wav
0,11,0,pinknoise,10.523460410557185,10.0,data\stim_files\pinknoise\pinknoise_4.wav
0,12,0,pinknoise,12.107038123167156,11.0,data\stim_files\pinknoise\pinknoise_2.wav
0,13,0,pinknoise,9.071847507331379,7.0,data\stim_files\pinknoise\pinknoise_0.wav
0,14,0,pinknoise,5.479472140762463,3.0,data\stim_files\pinknoise\pinknoise_5.wav
0,15,0,pinknoise,3.1920821114369504,2.0,data\stim_files\pinknoise\pinknoise_8.wav
0,16,0,pinknoise,7.737536656891496,9.0,data\stim_files\pinknoise\pinknoise_3.wav
0,17,0,pinknoise,9.13049853372434,8.0,data\stim_files\pinknoise\pinknoise_1.wav
0,18,0,pinknoise,6.109970674486804,4.0,data\stim_files\pinknoise\pinknoise_7.wav
0,19,0,pinknoise,8.77859237536657,5.0,data\stim_files\pinknoise\pinknoise_3.wav
0,20,0,pinknoise,9.203812316715544,12.0,data\stim_files\pinknoise\pinknoise_3.wav
0,21,0,pinknoise,7.107038123167156,6.0,data\stim_files\pinknoise\pinknoise_7.wav
0,22,0,pinknoise,5.112903225806452,4.0,data\stim_files\pinknoise\pinknoise_2.wav
0,23,0,pinknoise,8.969208211143696,12.0,data\stim_files\pinknoise\pinknoise_0.wav
0,24,0,pinknoise,7.239002932551321,6.0,data\stim_files\pinknoise\pinknoise_9.wav
0,25,0,pinknoise,10.831378299120235,11.0,data\stim_files\pinknoise\pinknoise_6.wav
0,26,0,pinknoise,9.218475073313783,10.0,data\stim_files\pinknoise\pinknoise_7.wav
0,27,0,pinknoise,6.124633431085044,3.0,data\stim_files\pinknoise\pinknoise_7.wav
0,28,0,pinknoise,4.467741935483871,5.0,data\stim_files\pinknoise\pinknoise_5.wav
0,29,0,pinknoise,7.341642228739003,8.0,data\stim_files\pinknoise\pinknoise_3.wav
0,30,0,pinknoise,2.825513196480939,2.0,data\stim_files\pinknoise\pinknoise_5.wav
0,31,0,pinknoise,9.115835777126101,9.0,data\stim_files\pinknoise\pinknoise_1.wav
0,32,0,pinknoise,6.901759530791789,7.0,data\stim_files\pinknoise\pinknoise_6.wav
0,0,0,uso,3.3533724340175954,3.0,data\stim_files\uso_300ms\uso_300ms_20.wav
0,1,0,uso,4.966275659824047,5.0,data\stim_files\uso_300ms\uso_300ms_48.wav
0,2,0,uso,9.497067448680353,11.0,data\stim_files\uso_300ms\uso_300ms_12.wav
0,3,0,uso,5.215542521994135,4.0,data\stim_files\uso_300ms\uso_300ms_29.wav
0,4,0,uso,7.6788856304985345,9.0,data\stim_files\uso_300ms\uso_300ms_25.wav
0,5,0,uso,5.875366568914957,8.0,data\stim_files\uso_300ms\uso_300ms_14.wav
0,6,0,uso,5.024926686217009,7.0,data\stim_files\uso_300ms\uso_300ms_1.wav
0,7,0,uso,9.233137829912025,10.0,data\stim_files\uso_300ms\uso_300ms_17.wav
0,8,0,uso,7.444281524926687,12.0,data\stim_files\uso_300ms\uso_300ms_23.wav
0,9,0,uso,2.6788856304985336,2.0,data\stim_files\uso_300ms\uso_300ms_22.wav
0,10,0,uso,4.966275659824047,6.0,data\stim_files\uso_300ms\uso_300ms_31.wav
0,11,0,uso,6.109970674486804,4.0,data\stim_files\uso_300ms\uso_300ms_39.wav
0,12,0,uso,4.951612903225807,5.0,data\stim_files\uso_300ms\uso_300ms_16.wav
0,13,0,uso,4.247800586510264,2.0,data\stim_files\uso_300ms\uso_300ms_6.wav
0,14,0,uso,7.752199413489736,11.0,data\stim_files\uso_300ms\uso_300ms_5.wav
