event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,1,-14.583333333333334,4.0,7.0,88.4,76.26111111111113,pinknoise,syllable,p307,syllable_rms,88.4,90.84444444444446
1,1,-6.333333333333333,7.0,7.0,90.84444444444446,84.51111111111113,pinknoise,syllable,p307,syllable_rms,90.84444444444446,90.84444444444446
2,1,-14.666666666666666,6.0,7.0,90.06666666666666,76.17777777777779,pinknoise,syllable,p307,syllable_rms,90.06666666666666,90.84444444444446
3,1,-15.333333333333334,12.0,7.0,91.4888888888889,75.51111111111113,pinknoise,syllable,p307,syllable_rms,91.4888888888889,90.84444444444446
4,1,-15.083333333333334,2.0,7.0,86.20000000000002,75.76111111111113,pinknoise,syllable,p307,syllable_rms,86.2,90.84444444444446
5,1,-13.083333333333334,10.0,7.0,91.53333333333336,77.76111111111113,pinknoise,syllable,p307,syllable_rms,91.53333333333332,90.84444444444446
6,1,-13.0,9.0,7.0,91.64444444444445,77.84444444444446,pinknoise,syllable,p307,syllable_rms,91.64444444444445,90.84444444444446
7,1,-12.666666666666666,8.0,7.0,91.28888888888888,78.17777777777779,pinknoise,syllable,p307,syllable_rms,91.28888888888888,90.84444444444446
8,1,-10.25,5.0,7.0,89.82222222222222,80.59444444444446,pinknoise,syllable,p307,syllable_rms,89.82222222222222,90.84444444444446
9,1,-10.833333333333334,11.0,7.0,91.66666666666669,80.01111111111113,pinknoise,syllable,p307,syllable_rms,91.66666666666669,90.84444444444446
10,1,-6.5,3.0,7.0,88.06666666666666,84.34444444444446,pinknoise,syllable,p307,syllable_rms,88.06666666666666,90.84444444444446
