event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,8,-3.0,7.0,7.0,90.34149293193904,87.84444444444446,babble,syllable,p307,mgb_normalisation,90.34149293193902,90.34149293193902
1,8,-7.4,2.0,7.0,84.40078082039423,83.44444444444446,babble,syllable,p307,mgb_normalisation,84.40078082039426,90.34149293193902
2,8,-6.3,4.0,7.0,87.57049330475357,84.54444444444447,babble,syllable,p307,mgb_normalisation,87.57049330475357,90.34149293193902
3,8,-5.3,9.0,7.0,91.73820004985969,85.54444444444447,babble,syllable,p307,mgb_normalisation,91.73820004985969,90.34149293193902
4,8,-6.4,5.0,7.0,89.14911522239515,84.44444444444446,babble,syllable,p307,mgb_normalisation,89.14911522239515,90.34149293193902
5,8,-9.8,3.0,7.0,86.2038576498559,81.04444444444447,babble,syllable,p307,mgb_normalisation,86.2038576498559,90.34149293193902
6,8,-5.9,10.0,7.0,92.0152836843556,84.94444444444446,babble,syllable,p307,mgb_normalisation,92.0152836843556,90.34149293193902
7,8,-5.2,6.0,7.0,89.31368318402099,85.64444444444446,babble,syllable,p307,mgb_normalisation,89.31368318402099,90.34149293193902
8,8,-6.6,8.0,7.0,91.58892582949886,84.24444444444447,babble,syllable,p307,mgb_normalisation,91.58892582949886,90.34149293193902
9,8,-6.5,12.0,7.0,93.00003341222715,84.34444444444446,babble,syllable,p307,mgb_normalisation,93.00003341222715,90.34149293193902
10,8,-5.2,11.0,7.0,92.00610777531934,85.64444444444446,babble,syllable,p307,mgb_normalisation,92.00610777531934,90.34149293193902
