event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,2,-7.0,6.0,7.0,90.06666666666666,83.84444444444448,babble,syllable,p248,syllable_rms,90.06666666666666,90.84444444444446
1,2,-5.0,3.0,7.0,88.06666666666666,81.84444444444446,babble,syllable,p248,syllable_rms,88.06666666666666,90.84444444444446
2,2,-3.5,4.0,7.0,88.4,84.84444444444448,babble,syllable,p248,syllable_rms,88.4,90.84444444444446
3,2,-11.0,2.0,7.0,86.19999999999999,76.84444444444448,babble,syllable,p248,syllable_rms,86.2,90.84444444444446
4,2,-5.25,5.0,7.0,89.82222222222222,82.84444444444446,babble,syllable,p248,syllable_rms,89.82222222222222,90.84444444444446
5,2,-8.0,8.0,7.0,91.28888888888888,79.84444444444446,babble,syllable,p248,syllable_rms,91.28888888888888,90.84444444444446
6,2,-11.5,12.0,7.0,91.48888888888892,77.84444444444446,babble,syllable,p248,syllable_rms,91.4888888888889,90.84444444444446
7,2,-14.0,10.0,7.0,91.53333333333332,76.84444444444448,babble,syllable,p248,syllable_rms,91.53333333333332,90.84444444444446
8,2,-10.25,9.0,7.0,91.64444444444445,77.84444444444448,babble,syllable,p248,syllable_rms,91.64444444444445,90.84444444444446
9,2,-14.5,11.0,7.0,91.66666666666669,75.84444444444446,babble,syllable,p248,syllable_rms,91.66666666666669,90.84444444444446
10,2,-14.25,6.0,7.0,90.06666666666666,75.84444444444446,pinknoise,syllable,p245,syllable_rms,90.06666666666666,90.84444444444446
11,2,-11.0,2.0,7.0,86.19999999999999,79.84444444444446,pinknoise,syllable,p245,syllable_rms,86.2,90.84444444444446
12,2,-11.5,3.0,7.0,88.06666666666666,76.84444444444446,pinknoise,syllable,p245,syllable_rms,88.06666666666666,90.84444444444446
13,2,-13.5,4.0,7.0,88.40000000000002,75.84444444444445,pinknoise,syllable,p245,syllable_rms,88.4,90.84444444444446
14,2,-16.5,5.0,7.0,89.82222222222222,73.84444444444446,pinknoise,syllable,p245,syllable_rms,89.82222222222222,90.84444444444446
15,2,-12.0,9.0,7.0,91.64444444444445,76.84444444444446,pinknoise,syllable,p245,syllable_rms,91.64444444444445,90.84444444444446
16,2,-17.0,8.0,7.0,91.28888888888888,70.84444444444446,pinknoise,syllable,p245,syllable_rms,91.28888888888888,90.84444444444446
17,2,-9.5,11.0,7.0,91.66666666666669,80.84444444444445,pinknoise,syllable,p245,syllable_rms,91.66666666666669,90.84444444444446
18,2,-15.5,10.0,7.0,91.53333333333336,74.84444444444446,pinknoise,syllable,p245,syllable_rms,91.53333333333332,90.84444444444446
19,2,-10.75,12.0,7.0,91.4888888888889,76.84444444444446,pinknoise,syllable,p245,syllable_rms,91.4888888888889,90.84444444444446
