event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,9,-12.3,2.0,7.0,84.40078082039426,78.54444444444447,babble,syllable,p248,mgb_normalisation,84.40078082039426,90.34149293193902
1,9,-7.8,8.0,7.0,91.58892582949886,83.04444444444447,babble,syllable,p248,mgb_normalisation,91.58892582949886,90.34149293193902
2,9,-9.3,6.0,7.0,89.31368318402099,81.54444444444447,babble,syllable,p248,mgb_normalisation,89.31368318402099,90.34149293193902
3,9,-4.8,5.0,7.0,89.14911522239515,86.04444444444447,babble,syllable,p248,mgb_normalisation,89.14911522239515,90.34149293193902
4,9,-10.0,10.0,7.0,92.0152836843556,80.84444444444446,babble,syllable,p248,mgb_normalisation,92.0152836843556,90.34149293193902
5,9,-6.8,12.0,7.0,93.00003341222718,84.04444444444447,babble,syllable,p248,mgb_normalisation,93.00003341222715,90.34149293193902
6,9,-10.4,3.0,7.0,86.2038576498559,80.44444444444446,babble,syllable,p248,mgb_normalisation,86.2038576498559,90.34149293193902
7,9,-7.1,7.0,7.0,90.34149293193904,83.74444444444447,babble,syllable,p248,mgb_normalisation,90.34149293193902,90.34149293193902
8,9,-7.4,9.0,7.0,91.73820004985969,83.44444444444446,babble,syllable,p248,mgb_normalisation,91.73820004985969,90.34149293193902
9,9,-8.8,4.0,7.0,87.57049330475357,82.04444444444447,babble,syllable,p248,mgb_normalisation,87.57049330475357,90.34149293193902
10,9,-7.9,11.0,7.0,92.00610777531934,82.94444444444446,babble,syllable,p248,mgb_normalisation,92.00610777531934,90.34149293193902
