,event_id,subject,sound_type,n_sounds,response,is_correct,mean_speaker_distance,speaker_dist_st_dev
0,0,100,countries,3,4.0,False,7.333333333333333,2.516611478423583
0,1,100,countries,4,2.0,False,7.0,2.943920288775949
0,2,100,countries,2,2.0,True,3.5,2.1213203435596424
0,3,100,countries,3,3.0,True,7.666666666666667,3.0550504633038935
0,4,100,countries,1,2.0,False,7.0,0
0,5,100,countries,3,2.0,False,4.666666666666667,2.516611478423583
0,6,100,countries,5,4.0,False,7.4,3.7815340802378072
0,7,100,countries,3,3.0,True,6.666666666666667,4.163331998932266
0,8,100,countries,6,5.0,False,7.333333333333333,3.011090610836324
0,9,100,countries,6,3.0,False,6.166666666666667,2.786873995477131
0,10,100,countries,4,1.0,False,4.25,1.707825127659933
0,11,100,countries,5,3.0,False,8.0,3.5355339059327378
0,12,100,countries,4,3.0,False,5.0,2.581988897471611
0,13,100,countries,1,1.0,True,11.0,0
0,14,100,countries,1,1.0,True,10.0,0
0,15,100,countries,6,4.0,False,6.333333333333333,4.033195589934446
0,16,100,countries,1,1.0,True,5.0,0
0,17,100,countries,6,3.0,False,6.666666666666667,2.7325202042558927
0,18,100,countries,1,1.0,True,12.0,0
0,19,100,countries,3,2.0,False,4.666666666666667,2.0816659994661326
0,20,100,countries,1,1.0,True,3.0,0
0,21,100,countries,3,2.0,False,4.333333333333333,2.516611478423583
0,22,100,countries,6,4.0,False,8.0,2.6076809620810595
0,23,100,countries,3,3.0,True,5.666666666666667,5.507570547286102
0,24,100,countries,6,3.0,False,8.5,3.6193922141707713
0,25,100,countries,6,3.0,False,7.5,3.9370039370059056
0,26,100,countries,6,4.0,False,6.5,3.391164991562634
0,27,100,countries,3,1.0,False,7.0,2.6457513110645907
0,28,100,countries,2,2.0,True,5.0,2.8284271247461903
0,29,100,countries,3,3.0,True,7.0,1.0
0,30,100,countries,3,2.0,False,7.0,2.6457513110645907
0,31,100,countries,1,1.0,True,7.0,0
0,32,100,countries,1,1.0,True,7.0,0
0,33,100,countries,4,3.0,False,7.5,3.696845502136472
0,34,100,countries,2,2.0,True,7.0,5.656854249492381
0,35,100,countries,2,3.0,False,7.0,5.656854249492381
0,36,100,countries,5,1.0,False,6.8,3.5637059362410923
0,37,100,countries,4,4.0,True,7.75,4.031128874149275
0,38,100,countries,2,2.0,True,6.5,6.363961030678928
0,39,100,countries,3,4.0,False,6.666666666666667,3.2145502536643185
0,40,100,countries,4,2.0,False,5.0,2.943920288775949
0,41,100,countries,5,5.0,True,7.4,4.61519230368573
0,42,100,countries,1,1.0,True,5.0,0
0,43,100,countries,6,3.0,False,6.666666666666667,3.559026084010437
0,44,100,countries,3,2.0,False,4.0,2.0
0,45,100,countries,6,3.0,False,6.0,3.1622776601683795
0,46,100,countries,2,2.0,True,5.5,3.5355339059327378
0,47,100,countries,3,2.0,False,5.666666666666667,4.725815626252608
0,48,100,countries,2,3.0,False,9.0,2.8284271247461903
0,49,100,countries,1,1.0,True,2.0,0
