,event_id,subject,sound_type,n_sounds,response,is_correct,mean_speaker_distance,speaker_dist_st_dev
0,0,9,countries,4,3.0,False,8.5,3.1091263510296048
0,1,9,countries,4,3.0,False,8.0,3.6514837167011076
0,2,9,countries,1,1.0,True,2.0,0
0,3,9,countries,6,4.0,False,7.5,4.230839160261236
0,4,9,countries,1,1.0,True,6.0,0
0,5,9,countries,4,4.0,True,5.75,3.304037933599835
0,6,9,countries,1,1.0,True,4.0,0
0,7,9,countries,6,3.0,False,8.0,2.6076809620810595
0,8,9,countries,5,3.0,False,7.2,3.96232255123179
0,9,9,countries,3,2.0,False,5.0,2.6457513110645907
0,10,9,countries,5,3.0,False,9.2,1.9235384061671346
0,11,9,countries,4,3.0,False,9.5,2.0816659994661326
0,12,9,countries,1,1.0,True,6.0,0
0,13,9,countries,1,1.0,True,4.0,0
0,14,9,countries,3,2.0,False,5.666666666666667,5.507570547286102
0,15,9,countries,3,2.0,False,6.0,2.6457513110645907
0,16,9,countries,5,3.0,False,7.2,2.3874672772626644
0,17,9,countries,2,2.0,True,7.0,4.242640687119285
0,18,9,countries,6,3.0,False,7.166666666666667,2.316606713852541
0,19,9,countries,6,2.0,False,8.333333333333334,2.160246899469287
0,20,9,countries,3,2.0,False,7.333333333333333,5.033222956847167
0,21,9,countries,4,2.0,False,7.75,3.095695936834452
0,22,9,countries,5,3.0,False,6.4,4.03732584763727
0,23,9,countries,2,1.0,False,5.5,0.7071067811865476
0,24,9,countries,1,1.0,True,3.0,0
0,25,9,countries,3,1.0,False,6.666666666666667,3.5118845842842465
0,26,9,countries,6,3.0,False,6.833333333333333,3.4302575219167823
0,27,9,countries,4,3.0,False,7.0,4.760952285695233
0,28,9,countries,3,2.0,False,5.666666666666667,4.725815626252608
0,29,9,countries,1,1.0,True,12.0,0
0,30,9,countries,5,3.0,False,6.8,3.7013511046643495
0,31,9,countries,2,2.0,True,5.0,4.242640687119285
0,32,9,countries,5,4.0,False,8.6,3.2093613071762426
0,33,9,countries,5,3.0,False,6.6,3.361547262794322
0,34,9,countries,5,3.0,False,6.4,4.39317652729776
0,35,9,countries,4,2.0,False,7.5,2.0816659994661326
0,36,9,countries,5,2.0,False,6.4,3.2093613071762426
0,37,9,countries,1,1.0,True,11.0,0
0,38,9,countries,6,3.0,False,8.666666666666666,3.265986323710904
0,39,9,countries,4,2.0,False,9.75,1.707825127659933
0,40,9,countries,3,2.0,False,3.3333333333333335,1.5275252316519468
0,41,9,countries,4,2.0,False,7.5,4.041451884327381
0,42,9,countries,4,2.0,False,8.75,1.707825127659933
0,43,9,countries,6,3.0,False,6.0,3.847076812334269
0,44,9,countries,6,3.0,False,7.0,3.5777087639996634
0,45,9,countries,1,1.0,True,11.0,0
0,46,9,countries,2,1.0,False,8.5,2.1213203435596424
0,47,9,countries,4,2.0,False,7.75,3.774917217635375
0,48,9,countries,4,2.0,False,6.5,4.654746681256314
0,49,9,countries,4,2.0,False,6.5,4.654746681256314
